元気ですか,zatsudan
最近どう？,zatsudan
ロンドンの天気教えて ,notzatsudan
最近仕事うまくいってる,zatsudan
火花はどう思う,zatsudan
天気がいいですね。,zatsudan
日本で一番人気のある女優は誰ですか？,notzatsudan
ポケモンゴーは楽しいですか,zatsudan
何か、良い話ない？,zatsudan
ポケモンはゼニガメが好きで,zatsudan
明日、飲みに行きませんか。,notzatsudan
ペットを飼っていますか？,notzatsudan
すぐに返信をください。,notzatsudan
昨日ご飯なに食べた？,zatsudan
好きな俳優の名前は？,zatsudan
出身はどちらですか？,zatsudan
誕生日っていつだっけ？,zatsudan
家から一番近い映画館ってど,notzatsudan
明日の１０時にまた連絡してください。,zatsudan
1ドルは何円ですか？,notzatsudan
ドラゴンボールは海外でも人気がありますか？,notzatsudan
最近、ついてない。,zatsudan
一番好きな季節は？,zatsudan
国会議事堂はどの方向ですか,notzatsudan
この料理は誰が作ったのです,notzatsudan
VR体験したことある？,zatsudan
近くにカレーが美味しいお店知らない？,notzatsudan
USJって8月やっぱり混んでるかな？,notzatsudan
おなか空い,zatsudan
疲れたー。,zatsudan
カープ今日勝ったかな？,zatsudan
お疲れ様で,zatsudan
体重は何キロですか？,notzatsudan
待ち合わせの約束は何時です,notzatsudan
昨日おもしろいテレビ番組あった？,zatsudan
今日暑いね,zatsudan
旅をするならどこ行きたい？,zatsudan
女子高生はかわいいです。,zatsudan
今日の晩御飯はカレーです。,zatsudan
最近太ってきました。,zatsudan
今日は勉強会です。,zatsudan
ドリアが大好きです。,zatsudan
私は掃除が苦手です。,zatsudan
日本の総理大臣は誰ですか？,notzatsudan
一番好きなアイドルは誰です,notzatsudan
好きなタイプの女性はどんな女性ですか？,zatsudan
プログラムで一番人気のある言語はなんですか,notzatsudan
世界で一番高い山はどこです,notzatsudan
皇帝ペンギンとはなんですか,notzatsudan
雑談とはいったいなんですか,notzatsudan
ミニスカとはなんですか？,notzatsudan
一番暑い国はどこですか？,notzatsudan
美味しいカレーの作り方を教えてください。,notzatsudan
携帯電話料金を安くする方法を教えてください,notzatsudan
亀って英語でなんて言うの？,notzatsudan
これは何の匂いですか？,notzatsudan
そのカバンはどこで買ったのですか  ,notzatsudan
付き合ってますか？,zatsudan
最近の健康はどう？,zatsudan
今日は星がみえるかなぁ,zatsudan
トランプが大統領になったら大変そうだけどど,notzatsudan
ポケモンGOって面白そうね,zatsudan
一番エロい人って誰?,notzatsudan
都知事選挙は面白いですね.アホばっかりで,zatsudan
カラオケ行きたいな？,zatsudan
カレーの簡単レシピを教えて,notzatsudan
しりとりしよう。リンゴ。,zatsudan
おやすみ。,zatsudan
浅田彰の本は難解だ。,zatsudan
会社、辞めたい。,zatsudan
今日の洋服似合ってますね ,zatsudan
家族の状況はどうですか？ ,zatsudan
ピンクフロイドはいいよね。,zatsudan
町田市って神奈川県じゃない,zatsudan
足立区、北区って埼玉県だっ,notzatsudan
何か歌って,zatsudan
通るときには閉まって、通らないときには開いているものは何？,notzatsudan
一番有名なロック歌手は誰ですか？,notzatsudan
ドリアの作り方はどうやりますか？,notzatsudan
宇宙で人は生きれますか？,notzatsudan
一番安い携帯プランは何です,notzatsudan
上野に幼稚園は何個あります,notzatsudan
京都で旅行で宿泊する場所はいくつありますか,notzatsudan
新宿の公衆トイレの場所はどこですか？,notzatsudan
ハイヒールで踏まれたらどうなりますか？,notzatsudan
１８禁って何ですか？,notzatsudan
今流行っている曲って何？,notzatsudan
FUJI ROCK FES っていつだっけ,notzatsudan
宇宙に行きたいなぁ ,zatsudan
カツラをつけてみたいです。,zatsudan
結婚してください,notzatsudan
どんな家に住んでいるの？,zatsudan
オムライスの作り方教えて。,notzatsudan
あの上司むかつくよね ,zatsudan
新宿から渋谷までの電車賃っていくらですか？,notzatsudan
東京から大阪までの交通手段教えて？,notzatsudan
ビールがおいしい季節だよね,zatsudan
社長ってサラリーマンの成れの果てだよね  ,zatsudan
昨日の終値は上がった？  ,notzatsudan
Mの美魔女上司にハイヒールで踏みつけられたくないですか? ,notzatsudan
消費税値上げっていつからだっけ？,zatsudan
うざい。,zatsudan
通勤電車って死ぬほど辛くないかなぁ、俺はそう思うなぁ,zatsudan
Androidってどういう意味ですか？,notzatsudan
最近ストレスやばいわー  ,zatsudan
コーヒーが飲みたい。   ,zatsudan
東野圭吾の新作タイトル教え,notzatsudan
高円寺で一番人気のラーメン屋は？     ,notzatsudan
満員電車って嫌だよね   ,zatsudan
無人島に行くとしたらなにをもっていく？  ,zatsudan
たのしいな,zatsudan
タバコ吸う人いますか？  ,notzatsudan
先週はサンフランシスコにいました。    ,zatsudan
チョーむかつく。     ,zatsudan
この会社男ばっかだよね  ,zatsudan
映画で好きなのは何ですか?,notzatsudan
サブカルって知ってますか?,notzatsudan
大阪名物といえば？    ,zatsudan
ついつい夜更かししちゃうんだよね     ,zatsudan
映画館って眠くなるよね？ ,zatsudan
ゲームをやっていて夜が白じんでくると退廃的でなにかよいなぁ,zatsudan
ひまだなあ,zatsudan
生産性アップとかコストダウンなんてくそくらえだよね    ,zatsudan
いつにする,zatsudan
それな！ ,zatsudan
千葉県の特産物ってなに？ ,notzatsudan
気温は何度ですか？    ,notzatsudan
おーい  ,zatsudan
小説読んだら頭よくなるんじ,zatsudan
むかちゃっかふぁいやー  ,zatsudan
日本死ね ,zatsudan
愛してる ,zatsudan
おいキタロ,zatsudan
明日天気良ければいいねー ,zatsudan
天気のいい日はバーベキューでしょ。    ,zatsudan
梅雨の時期には雨が降らないと、水不足になる,zatsudan
温暖化の影響で日本は暑くなっている。   ,zatsudan
天気がいい日はハイキングでしょ。     ,zatsudan
天気がいい日はウォーキングよね。     ,zatsudan
雨の時は家にいます。   ,zatsudan
雨の日には映画を見ます。 ,zatsudan
いけピカチュウ！１０まんボルトだ！    ,zatsudan
gpuのあるパソコン欲しい,zatsudan
自分を知るためには、自分と話せばいい。  ,zatsudan
CS初戦　藤波先発が全てよ,zatsudan
データを増やす必要がある ,zatsudan
データを増やすのは非常に大変だ。     ,zatsudan
誰かにデータを作るお手伝いをお願いするべき,zatsudan
明日は晴れに違いない。  ,zatsudan
晴れの日は洗濯をするべきだ,zatsudan
たまには家族サービスをしないと嫁に怒られる,zatsudan
好きな料理はドリアです。 ,zatsudan
上野で美味しいお店は少ないです。     ,zatsudan
明日の天気は何ですか？  ,notzatsudan
天気がいい日には何をしたいですか？    ,notzatsudan
日本では天気がいい日に何をしますか？   ,notzatsudan
どの天気が一番好きですか？,notzatsudan
雨の時にはどこに遊びに行きますか？    ,notzatsudan
１０まんボルトって人間耐えられるの？   ,notzatsudan
gpuのあるパソコンでオススメのある？  ,notzatsudan
天気のいい日は何をしたいですか？     ,notzatsudan
ピカチューは好きですか？ ,notzatsudan
ピカチューは黄色ですか？ ,notzatsudan
ピカチューを持っていますか,notzatsudan
明日の天気は何ですか？  ,notzatsudan
明日の天気を知っている人はいますか？   ,notzatsudan
好きな料理はなんですか？ ,notzatsudan
上野でおいしいお店を知っていますか？   ,notzatsudan
どのジャンルの音楽が好きですか？     ,notzatsudan
雨の日は何をしますか？  ,notzatsudan
雨の日にどのテレビを見ます,notzatsudan
機械学習用のパソコンを購入してはどうですか,notzatsudan
データをクローリングいます,notzatsudan
りんなを使っていますか？ ,notzatsudan
チャットボットを作りたいですか？     ,notzatsudan
チャットボットはどうやって作りますか？  ,notzatsudan
chainerのインストール方法を教えてください。    ,notzatsudan
上杉隆って何のために立候補していますか? ,notzatsudan
高円寺の家賃って大体いくらくらいですか？ ,notzatsudan
やまもといちろうがもっと暴れてくれると面白いのですけどどう思います?   ,notzatsudan
１LDKで,notzatsudan
そのパソコンいくらで買った,notzatsudan
君の家に遊びに行ってもいい,notzatsudan
頭痛の対処法はなにがいい？,zatsudan
俺の乗る飛行機って落ちないだろうか?   ,notzatsudan
好きな雑誌はなんですか？ ,notzatsudan
夏休みは何をしますか？  ,zatsudan
新築がいい,zatsudan
次のiPhone7って気になるよね    ,zatsudan
日本語を話せますか？   ,notzatsudan
8月上旬に引っ越します。 ,zatsudan
ぽよーん ,zatsudan
温泉でゆっくりしたい   ,zatsudan
明日の会議に参加しますか？,notzatsudan
おすすめのお酒を教えてくだ,notzatsudan
今は円安ですか？     ,notzatsudan
織田信長は何をした人？  ,notzatsudan
甘いものが食べたい    ,zatsudan
WindowsとMacってどっちがいいの?,notzatsudan